Address,USB0::0x2A8D::0x0101::MY59001058::0::INSTR
Model,34465A
Serial Number:,MY59001058
Firmware Version,A.03.00-02.40-03.00-00.52-03-01
Start Time,2020-10-05 22:49:49.921
Sample Count,20000
Aperture Enable:,False
Auto Range:,On
Auto Zero:,On
Measurement:,DC Current
NPLC:,0.001
Null State:,False
Null Value(ADC):,0
Range(ADC):,1
,
Time (s),Channel 1 (ADC)
0.000000E+000,0.245584601884491
4.800000E-005,0.237557119561426
9.600000E-005,0.238877159244068
1.440000E-004,0.240197198926709
1.920000E-004,0.238594293597787
2.400000E-004,0.242465306368334
2.880000E-004,0.250343582461185
3.360000E-004,0.26215840546477
3.840000E-004,0.240862401039412
4.320000E-004,0.23798919143792
4.800000E-004,0.239073509748661
5.280000E-004,0.242794020721149
5.760000E-004,0.240180104628747
6.240000E-004,0.241192410960073
6.720000E-004,0.237566188536345
7.200000E-004,0.240060948374951
7.680000E-004,0.245978850377493
8.160000E-004,0.239091899614469
8.640000E-004,0.237141890066925
9.120000E-004,0.239232036869764
9.600000E-004,0.236849955445726
1.008000E-003,0.240245638768935
1.056000E-003,0.238649211279241
1.104000E-003,0.239660222042721
1.152000E-003,0.238689877714393
1.200000E-003,0.24661659364947
1.248000E-003,0.245961756079531
1.296000E-003,0.245550665204536
1.344000E-003,0.247162639508377
1.392000E-003,0.250558322831586
1.440000E-003,0.252420521669598
1.488000E-003,0.241684834705372
1.536000E-003,0.239163911593885
1.584000E-003,0.242536022779904
1.632000E-003,0.238386031066614
1.680000E-003,0.259898071430219
1.728000E-003,0.231103536242741
1.776000E-003,0.216686709173334
1.824000E-003,0.240206267901628
1.872000E-003,0.240977670589671
1.920000E-003,0.23925949571049
1.968000E-003,0.237723420089602
2.016000E-003,0.242236062835662
2.064000E-003,0.248274416659845
2.112000E-003,0.245248114124603
2.160000E-003,0.252002701039406
2.208000E-003,0.24471243280846
2.256000E-003,0.236952017401559
2.304000E-003,0.2382720570842
2.352000E-003,0.239564637926115
2.400000E-003,0.238463225317412
2.448000E-003,0.236684950485395
2.496000E-003,0.239332803257752
2.544000E-003,0.24001121296488
2.592000E-003,0.237350152598098
2.640000E-003,0.237773155499673
2.688000E-003,0.240177513493056
2.736000E-003,0.238624343574205
2.784000E-003,0.2426551790337
2.832000E-003,0.242629015760819
2.880000E-003,0.249680971484173
2.928000E-003,0.245246818556757
2.976000E-003,0.252398245100254
3.024000E-003,0.256076794069744
3.072000E-003,0.244052412967139
3.120000E-003,0.224046398248005
3.168000E-003,0.238128033125369
3.216000E-003,0.237698552384566
3.264000E-003,0.239450663943702
3.312000E-003,0.240037376237761
3.360000E-003,0.240017690804108
3.408000E-003,0.238879750379759
3.456000E-003,0.237746992226792
3.504000E-003,0.24195060605369
3.552000E-003,0.236357531700426
3.600000E-003,0.236831565579918
3.648000E-003,0.241382283625438
3.696000E-003,0.236690132756778
3.744000E-003,0.2382720570842
3.792000E-003,0.243414669695163
3.840000E-003,0.241902166211465
3.888000E-003,0.24166774040741
3.936000E-003,0.245724739139785
3.984000E-003,0.251334907791012
4.032000E-003,0.242487582937678
4.080000E-003,0.239260791278336
4.128000E-003,0.239706070749255
4.176000E-003,0.237373724735288
4.224000E-003,0.237304303891564
4.272000E-003,0.251477636181997
4.320000E-003,0.250714258816998
4.368000E-003,0.250257067319498
4.416000E-003,0.245343698241208
4.464000E-003,0.227651639670233
4.512000E-003,0.228386262626661
4.560000E-003,0.238087366690217
4.608000E-003,0.241717475817481
4.656000E-003,0.239097081885851
4.704000E-003,0.245017575024085
4.752000E-003,0.243178948323263
4.800000E-003,0.249711021460591
4.848000E-003,0.252726959453069
4.896000E-003,0.24291447254279
4.944000E-003,0.244420498187261
4.992000E-003,0.236339141834618
5.040000E-003,0.23721390204634
5.088000E-003,0.242750763150305
5.136000E-003,0.237042419246782
5.184000E-003,0.237138003363388
5.232000E-003,0.236501555659257
5.280000E-003,0.240765521354961
5.328000E-003,0.237498063260466
5.376000E-003,0.238763185261654
5.424000E-003,0.240466856978564
5.472000E-003,0.236874823150761
5.520000E-003,0.236217394445132
5.568000E-003,0.24046815254641
5.616000E-003,0.242306779247232
5.664000E-003,0.250224426207389
5.712000E-003,0.245695984731213
5.760000E-003,0.254145174388007
5.808000E-003,0.255575301349525
5.856000E-003,0.225060000147176
5.904000E-003,0.241498848743543
5.952000E-003,0.237778337771056
6.000000E-003,0.242469193071871
6.048000E-003,0.240629270803203
6.096000E-003,0.23918877929892
6.144000E-003,0.240111979352868
6.192000E-003,0.23953977022108
6.240000E-003,0.245435395654277
6.288000E-003,0.236386286108998
6.336000E-003,0.237775746635364
6.384000E-003,0.240339927317695
6.432000E-003,0.236928445264369
6.480000E-003,0.236873527582916
6.528000E-003,0.242418162093954
6.576000E-003,0.2424194576618
6.624000E-003,0.244755690379303
6.672000E-003,0.254115124411589
6.720000E-003,0.241827563096358
6.768000E-003,0.236210916605904
6.816000E-003,0.238430584205303
6.864000E-003,0.240295374179006
6.912000E-003,0.239234628005455
6.960000E-003,0.237944638299231
7.008000E-003,0.238814216239571
7.056000E-003,0.240605698666013
7.104000E-003,0.238932076925521
7.152000E-003,0.240720968216272
7.200000E-003,0.230230071598865
7.248000E-003,0.240838828902222
7.296000E-003,0.249353552699204
7.344000E-003,0.249941560561109
7.392000E-003,0.239091899614469
7.440000E-003,0.240816552332878
7.488000E-003,0.252421817237444
7.536000E-003,0.25027416161746
7.584000E-003,0.244822520087337
7.632000E-003,0.239925993391039
7.680000E-003,0.239943087689001
7.728000E-003,0.236855137717108
7.776000E-003,0.237648816974495
7.824000E-003,0.239823931435206
7.872000E-003,0.237630427108688
7.920000E-003,0.237868739616279
7.968000E-003,0.245980145945339
8.016000E-003,0.23958691449546
8.064000E-003,0.236874823150761
8.112000E-003,0.238934668061212
8.160000E-003,0.239843616868859
8.208000E-003,0.238907209220486
8.256000E-003,0.238786757398844
8.304000E-003,0.242165346424091
8.352000E-003,0.252352396393719
8.400000E-003,0.243880930167581
8.448000E-003,0.24727661349079
8.496000E-003,0.25121445596937
8.544000E-003,0.227723651649649
8.592000E-003,0.230296901306898
8.640000E-003,0.253883289743226
8.688000E-003,0.245181284416569
8.736000E-003,0.249020951642852
8.784000E-003,0.249784329007852
8.832000E-003,0.244404699457144
8.880000E-003,0.239166502729576
8.928000E-003,0.239474236080892
8.976000E-003,0.241100713547004
9.024000E-003,0.238860064946106
9.072000E-003,0.235914843365198
9.120000E-003,0.240841420037913
9.168000E-003,0.235793095975711
9.216000E-003,0.239851390275932
9.264000E-003,0.249783033440007
9.312000E-003,0.246080912333327
9.360000E-003,0.252372081827373
9.408000E-003,0.24225704383716
9.456000E-003,0.239709957452792
9.504000E-003,0.240579535393132
9.552000E-003,0.238152900830405
9.600000E-003,0.240956689588172
9.648000E-003,0.237369838031752
9.696000E-003,0.240511410117253
9.744000E-003,0.240131664786521
9.792000E-003,0.23845804304603
9.840000E-003,0.238721223258657
9.888000E-003,0.240441989273528
9.936000E-003,0.223690225054463
9.984000E-003,0.236526423364293
1.003200E-002,0.239614373336186
1.008000E-002,0.243004874388013
1.012800E-002,0.240345109589077
1.017600E-002,0.266076562509697
1.022400E-002,0.258695892433528
1.027200E-002,0.255771651854119
1.032000E-002,0.241332548215367
1.036800E-002,0.238395100041533
1.041600E-002,0.239898534550312
1.046400E-002,0.236217394445132
1.051200E-002,0.238033744576609
1.056000E-002,0.24577058784632
1.060800E-002,0.236267129855203
1.065600E-002,0.236949426265868
1.070400E-002,0.239428387374357
1.075200E-002,0.2382720570842
1.080000E-002,0.236902281991488
1.084800E-002,0.23778895422979
1.089600E-002,0.241003833862552
1.094400E-002,0.237748287794638
1.099200E-002,0.241095531275621
1.104000E-002,0.251455359612653
1.108800E-002,0.241192410960073
1.113600E-002,0.246740932174648
1.118400E-002,0.254896891642397
1.123200E-002,0.24298518895436
1.128000E-002,0.219314876512037
1.132800E-002,0.234404931017191
1.137600E-002,0.241923147212963
1.142400E-002,0.240512705685099
1.147200E-002,0.243388506422282
1.152000E-002,0.240841420037913
1.156800E-002,0.237491585421238
1.161600E-002,0.247751942938128
1.166400E-002,0.249420382407237
1.171200E-002,0.247635377820023
1.176000E-002,0.240343814021232
1.180800E-002,0.238200045104785
1.185600E-002,0.240675119509738
1.190400E-002,0.240369977294113
1.195200E-002,0.245578124045263
1.200000E-002,0.250859578343674
1.204800E-002,0.244823815655182
1.209600E-002,0.239706070749255
1.214400E-002,0.241077141409814
1.219200E-002,0.238645324575704
1.224000E-002,0.237350152598098
1.228800E-002,0.241591841724457
1.233600E-002,0.240088407215678
1.238400E-002,0.237068582519664
1.243200E-002,0.237677571383068
1.248000E-002,0.240910840881638
1.252800E-002,0.240883382040911
1.257600E-002,0.240278279881044
1.262400E-002,0.237062104680436
1.267200E-002,0.219853148963871
1.272000E-002,0.24560558288599
1.276800E-002,0.246591725944434
1.281600E-002,0.245203560985914
1.286400E-002,0.253665958237133
1.291200E-002,0.242632902464355
1.296000E-002,0.248645093015658
1.300800E-002,0.237868739616279
1.305600E-002,0.238389917770151
1.310400E-002,0.242373608955265
1.315200E-002,0.247254336921446
1.320000E-002,0.254683446839841
1.324800E-002,0.24364261765999
1.329600E-002,0.240392253863457
1.334400E-002,0.236030112915457
1.339200E-002,0.237579396130771
1.344000E-002,0.245914611805151
1.348800E-002,0.237910701619277
1.353600E-002,0.238695059985775
1.358400E-002,0.242203421723553
1.363200E-002,0.239470349377355
1.368000E-002,0.239265973549718
1.372800E-002,0.24147916330989
1.377600E-002,0.247415455178239
1.382400E-002,0.24824047997989
1.387200E-002,0.251362366631738
1.392000E-002,0.241920556077272
1.396800E-002,0.23867019228074
1.401600E-002,0.218078760835391
1.406400E-002,0.237469308851894
1.411200E-002,0.241925738348655
1.416000E-002,0.238628230277742
1.420800E-002,0.239470349377355
1.425600E-002,0.243078181935275
1.430400E-002,0.237608150539343
1.435200E-002,0.238785461830999
1.440000E-002,0.238598180301324
1.444800E-002,0.2370724692232
1.449600E-002,0.238671487848585
1.454400E-002,0.244987525047667
1.459200E-002,0.247156161669149
1.464000E-002,0.258411731219402
1.468800E-002,0.255674772169668
1.473600E-002,0.250367154598375
1.478400E-002,0.239327620986369
1.483200E-002,0.238671487848585
1.488000E-002,0.239400928533631
1.492800E-002,0.238363754497269
1.497600E-002,0.23784775861478
1.502400E-002,0.239848799140241
1.507200E-002,0.240654138508239
1.512000E-002,0.237279436186528
1.516800E-002,0.240367386158422
1.521600E-002,0.240910840881638
1.526400E-002,0.239377356396441
1.531200E-002,0.239988936395536
1.536000E-002,0.223314366427268
1.540800E-002,0.240059652807106
1.545600E-002,0.237043714814628
1.550400E-002,0.244047230695757
1.555200E-002,0.255342171113316
1.560000E-002,0.243535121516804
1.564800E-002,0.248318969798534
1.569600E-002,0.2419270339165
1.574400E-002,0.23742346014536
1.579200E-002,0.243007465523705
1.584000E-002,0.23864662014355
1.588800E-002,0.23728461845791
1.593600E-002,0.237062104680436
1.598400E-002,0.238743499828001
1.603200E-002,0.249261855286135
1.608000E-002,0.246591725944434
1.612800E-002,0.246809057450527
1.617600E-002,0.246211980613703
1.622400E-002,0.23669531502816
1.627200E-002,0.237656590381569
1.632000E-002,0.238854882674723
1.636800E-002,0.240813961197187
1.641600E-002,0.239161320458194
1.646400E-002,0.252019795337368
1.651200E-002,0.253270414176285
1.656000E-002,0.244189959086743
1.660800E-002,0.239475531648737
1.665600E-002,0.242137887583365
1.670400E-002,0.228836724368962
1.675200E-002,0.219587377615553
1.680000E-002,0.247347329902361
1.684800E-002,0.251547057025722
1.689600E-002,0.240016395236262
1.694400E-002,0.240324128587578
1.699200E-002,0.241805286527013
1.704000E-002,0.238668896712894
1.708800E-002,0.239590801198996
1.713600E-002,0.242042303466759
1.718400E-002,0.236335255131082
1.723200E-002,0.236556473340711
1.728000E-002,0.257133653539758
1.732800E-002,0.248199813544738
1.737600E-002,0.2535991285291
1.742400E-002,0.242917063678481
1.747200E-002,0.245293962831137
1.752000E-002,0.244568408849629
1.756800E-002,0.24715875280484
1.761600E-002,0.248309900823615
1.766400E-002,0.239402224101476
1.771200E-002,0.237372429167443
1.776000E-002,0.243433059560971
1.780800E-002,0.23925949571049
1.785600E-002,0.236898395287951
1.790400E-002,0.239871075709586
1.795200E-002,0.239382538667823
1.800000E-002,0.241453000037008
1.804800E-002,0.239568524629652
1.809600E-002,0.221500607431482
1.814400E-002,0.235296785526875
1.819200E-002,0.241476572174198
1.824000E-002,0.243734315073059
1.828800E-002,0.247420637449622
1.833600E-002,0.248194631273356
1.838400E-002,0.240743244785617
1.843200E-002,0.243886112438963
1.848000E-002,0.236172841306443
1.852800E-002,0.23655388220502
1.857600E-002,0.239969250961882
1.862400E-002,0.236546108797946
1.867200E-002,0.240440693705683
1.872000E-002,0.239137748321004
1.876800E-002,0.239495217082391
1.881600E-002,0.239873666845277
1.886400E-002,0.238431879773148
1.891200E-002,0.24190346177931
1.896000E-002,0.245105385733617
1.900800E-002,0.2465458772379
1.905600E-002,0.256760386048254
1.910400E-002,0.250957753595971
1.915200E-002,0.24722946921641
1.920000E-002,0.253908157448261
1.924800E-002,0.244713728376305
1.929600E-002,0.237138003363388
1.934400E-002,0.240462970275027
1.939200E-002,0.242208603994935
1.944000E-002,0.222704081996019
1.948800E-002,0.228012995135157
1.953600E-002,0.24064506953332
1.958400E-002,0.240059652807106
1.963200E-002,0.238031153440918
1.968000E-002,0.239662813178412
1.972800E-002,0.276004318970235
1.977600E-002,0.235603223310345
1.982400E-002,0.236637806211015
1.987200E-002,0.239335394393443
1.992000E-002,0.232559826477141
1.996800E-002,0.240836237766531
2.001600E-002,0.245980145945339
2.006400E-002,0.243482794971042
2.011200E-002,0.24008192937645
2.016000E-002,0.243269350168486
2.020800E-002,0.237915883890659
2.025600E-002,0.234824047215229
2.030400E-002,0.235347816504792
2.035200E-002,0.23925949571049
2.040000E-002,0.235909661093816
2.044800E-002,0.244162500246016
2.049600E-002,0.24814619143113
2.054400E-002,0.247892080193422
2.059200E-002,0.240823030172106
2.064000E-002,0.240182695764438
2.068800E-002,0.239754510591481
2.073600E-002,0.236235784310939
2.078400E-002,0.234711368800661
2.083200E-002,0.218035503264548
2.088000E-002,0.237469308851894
2.092800E-002,0.243361047581555
2.097600E-002,0.248719696130764
2.102400E-002,0.253389570430081
2.107200E-002,0.237191625476996
2.112000E-002,0.237606854971498
2.116800E-002,0.239021183202899
2.121600E-002,0.236291997560238
2.126400E-002,0.23953977022108
2.131200E-002,0.237017551541747
2.136000E-002,0.23357990621554
2.140800E-002,0.23494449903687
2.145600E-002,0.236972998403058
2.150400E-002,0.23515664827158
2.155200E-002,0.234776902940849
2.160000E-002,0.236665265051742
2.164800E-002,0.238125441989678
2.169600E-002,0.238692468850084
2.174400E-002,0.236498964523566
2.179200E-002,0.239661517610566
2.184000E-002,0.244921990907479
2.188800E-002,0.248903090956902
2.193600E-002,0.250551844992359
2.198400E-002,0.247677339823021
2.203200E-002,0.240132960354367
2.208000E-002,0.240249525472472
2.212800E-002,0.240554667688096
2.217600E-002,0.215669220570627
2.222400E-002,0.233339002572257
2.227200E-002,0.239068327477279
2.232000E-002,0.236830270012072
2.236800E-002,0.239995414234764
2.241600E-002,0.238902026949103
2.246400E-002,0.23810705212387
2.251200E-002,0.235912252229507
2.256000E-002,0.237141890066925
2.260800E-002,0.238923007950602
2.265600E-002,0.237097336928236
2.270400E-002,0.250151118660128
2.275200E-002,0.24363070563341
2.280000E-002,0.240392253863457
2.284800E-002,0.244358850750609
2.289600E-002,0.235907069958125
2.294400E-002,0.23761203724288
2.299200E-002,0.237986600302229
2.304000E-002,0.235701398562642
2.308800E-002,0.238061203417336
2.313600E-002,0.235063655290666
2.318400E-002,0.235559965739502
2.323200E-002,0.243434355128816
2.328000E-002,0.234871191489609
2.332800E-002,0.235770819406367
2.337600E-002,0.247279204626482
2.342400E-002,0.250419481144137
2.347200E-002,0.246730567631883
2.352000E-002,0.230795802891426
2.356800E-002,0.223478075819753
2.361600E-002,0.240723559351963
2.366400E-002,0.248156555973895
2.371200E-002,0.254348254647798
2.376000E-002,0.238273352652046
2.380800E-002,0.235862516819436
2.385600E-002,0.236290701992393
2.390400E-002,0.241598319563685
2.395200E-002,0.235929346527469
2.400000E-002,0.235886088956626
2.404800E-002,0.242800498560377
2.409600E-002,0.233831426317557
2.414400E-002,0.235959396503887
2.419200E-002,0.237274253915146
2.424000E-002,0.235058473019284
2.428800E-002,0.238150309694714
2.433600E-002,0.236832861147763
2.438400E-002,0.238456747478184
2.443200E-002,0.237138003363388
2.448000E-002,0.240016395236262
2.452800E-002,0.256876951166359
2.457600E-002,0.241001242726861
2.462400E-002,0.241593137292303
2.467200E-002,0.239116767319505
2.472000E-002,0.237491585421238
2.476800E-002,0.237206128639267
2.481600E-002,0.238701537825003
2.486400E-002,0.245654022728215
2.491200E-002,0.225742296557841
2.496000E-002,0.251074318714076
2.500800E-002,0.246658555652468
2.505600E-002,0.247349921038052
2.510400E-002,0.250533455126551
2.515200E-002,0.241481754445581
2.520000E-002,0.241547288585769
2.524800E-002,0.237584578402153
2.529600E-002,0.240816552332878
2.534400E-002,0.243811509323857
2.539200E-002,0.249542129796724
2.544000E-002,0.243787937186667
2.548800E-002,0.247796496076817
2.553600E-002,0.247965387740683
2.558400E-002,0.237160279932733
2.563200E-002,0.237727306793139
2.568000E-002,0.239136452753158
2.572800E-002,0.236834156715609
2.577600E-002,0.239144226160231
2.582400E-002,0.241259240668106
2.587200E-002,0.237583282834307
2.592000E-002,0.237724715657448
2.596800E-002,0.240885973176602
2.601600E-002,0.238554922730481
2.606400E-002,0.237867444048433
2.611200E-002,0.240557258823787
2.616000E-002,0.240699987214773
2.620800E-002,0.240631861938894
2.625600E-002,0.228339118352281
2.630400E-002,0.242939340247826
2.635200E-002,0.255321190111817
2.640000E-002,0.261007257445996
2.644800E-002,0.251382052065392
2.649600E-002,0.241758142252633
2.654400E-002,0.239190074866766
2.659200E-002,0.240364795022731
2.664000E-002,0.239852685843778
2.668800E-002,0.237606854971498
2.673600E-002,0.237701143520258
2.678400E-002,0.239943087689001
2.683200E-002,0.237392114601096
2.688000E-002,0.237071173655355
2.692800E-002,0.243340066580056
2.697600E-002,0.236231897607403
2.702400E-002,0.237492880989084
2.707200E-002,0.238647915711395
2.712000E-002,0.240326719723269
2.716800E-002,0.243431763993125
2.721600E-002,0.255110336444952
2.726400E-002,0.245482539928657
2.731200E-002,0.244779262516493
2.736000E-002,0.238386031066614
2.740800E-002,0.239142930592386
2.745600E-002,0.238718632122965
2.750400E-002,0.238739613124464
2.755200E-002,0.248007349743681
2.760000E-002,0.238099278716797
2.764800E-002,0.217114894346291
2.769600E-002,0.237323989325217
2.774400E-002,0.243670076500716
2.779200E-002,0.244497692438058
2.784000E-002,0.249966428266145
2.788800E-002,0.251805054966967
2.793600E-002,0.246408331118296
2.798400E-002,0.240063539510642
2.803200E-002,0.243011352227241
2.808000E-002,0.245064719298465
2.812800E-002,0.24263160689651
2.817600E-002,0.247213670486294
2.822400E-002,0.262632439344262
2.827200E-002,0.237441850011167
2.832000E-002,0.237634313812224
2.836800E-002,0.242841164995529
2.841600E-002,0.23686031998849
2.846400E-002,0.240157828059403
2.851200E-002,0.238361163361578
2.856000E-002,0.24211561101402
2.860800E-002,0.237485107582011
2.865600E-002,0.237985304734383
2.870400E-002,0.241094235707776
2.875200E-002,0.238333704520852
2.880000E-002,0.238997611065709
2.884800E-002,0.240553372120251
2.889600E-002,0.239683794179911
2.894400E-002,0.241995159192379
2.899200E-002,0.226499196083613
2.904000E-002,0.253482563410995
2.908800E-002,0.242206012859244
2.913600E-002,0.253977578291986
2.918400E-002,0.24024693433678
2.923200E-002,0.23909449075016
2.928000E-002,0.250957753595971
2.932800E-002,0.252932630848551
2.937600E-002,0.252348509690183
2.942400E-002,0.240461674707182
2.947200E-002,0.235816668112901
2.952000E-002,0.245368565946244
2.956800E-002,0.236762144736193
2.961600E-002,0.238531350593291
2.966400E-002,0.239774196025134
2.971200E-002,0.236056276188338
2.976000E-002,0.242795316288994
2.980800E-002,0.240531095550906
2.985600E-002,0.241215983097263
2.990400E-002,0.249352257131358
2.995200E-002,0.244258084362622
3.000000E-002,0.249430746950002
3.004800E-002,0.238621752438514
3.009600E-002,0.239123245158733
3.014400E-002,0.240341222885541
3.019200E-002,0.240317650748351
3.024000E-002,0.239142930592386
3.028800E-002,0.24126960521087
3.033600E-002,0.22322526014989
3.038400E-002,0.231832976927787
3.043200E-002,0.245698575866904
3.048000E-002,0.243290331169985
3.052800E-002,0.237910701619277
3.057600E-002,0.241002538294707
3.062400E-002,0.241126876819885
3.067200E-002,0.23890591365264
3.072000E-002,0.244827702358719
3.076800E-002,0.246500028531365
3.081600E-002,0.255415478660577
3.086400E-002,0.252375968530909
3.091200E-002,0.24621845845293
3.096000E-002,0.23867019228074
3.100800E-002,0.236640397346706
3.105600E-002,0.2375648929685
3.110400E-002,0.240222066631745
3.115200E-002,0.236971702835212
3.120000E-002,0.237325284893063
3.124800E-002,0.239353784259251
3.129600E-002,0.239072214180816
3.134400E-002,0.236684950485395
3.139200E-002,0.238103165420334
3.144000E-002,0.241434610171201
3.148800E-002,0.23928306784768
3.153600E-002,0.238930781357676
3.158400E-002,0.242727191013115
3.163200E-002,0.241284108373142
3.168000E-002,0.239423205102975
3.172800E-002,0.238668896712894
3.177600E-002,0.244755690379303
3.182400E-002,0.24520744768945
3.187200E-002,0.240769408058498
3.192000E-002,0.241731978979752
3.196800E-002,0.237770564363982
3.201600E-002,0.23925949571049
3.206400E-002,0.241454295604854
3.211200E-002,0.237868739616279
3.216000E-002,0.239490034811008
3.220800E-002,0.244780558084339
3.225600E-002,0.24966128605052
3.230400E-002,0.248312491959306
3.235200E-002,0.242936749112135
3.240000E-002,0.241995159192379
3.244800E-002,0.236687541621086
3.249600E-002,0.237045010382474
3.254400E-002,0.246831334019871
3.259200E-002,0.241759437820479
